1,Expt,Run,Speed,,,,,
2,1,1,850,,,,,
3,1,2,740,,,,,
4,1,3,900,,,,,
5,1,4,1070,,,,,
6,1,5,930,,,,,
7,1,6,850,,,,,
8,1,7,950,,,,,
9,1,8,980,,,,,
10,1,9,980,,,,,
11,1,10,880,,,,,
12,1,11,1000,,,,,
13,1,12,980,,,,,
14,1,13,930,,,,,
15,1,14,650,,,,,
16,1,15,760,,,,,
17,1,16,810,,,,,
18,1,17,1000,,,,,
19,1,18,1000,,,,,
20,1,19,960,,,,,
21,1,20,960,,,,,
22,2,1,960,,,,,
23,2,2,940,,,,,
24,2,3,960,,,,,
25,2,4,940,,,,,
26,2,5,880,,,,,
27,2,6,800,,,,,
28,2,7,850,,,,,
29,2,8,880,,,,,
30,2,9,900,,,,,
31,2,10,840,,,,,
32,2,11,830,,,,,
33,2,12,790,,,,,
34,2,13,810,,,,,
35,2,14,880,,,,,
36,2,15,880,,,,,
37,2,16,830,,,,,
38,2,17,800,,,,,
39,2,18,790,,,,,
40,2,19,760,,,,,
41,2,20,800,,,,,
42,3,1,880,,,,,
43,3,2,880,,,,,
44,3,3,880,,,,,
45,3,4,860,,,,,
46,3,5,720,,,,,
47,3,6,720,,,,,
48,3,7,620,,,,,
49,3,8,860,,,,,
50,3,9,970,,,,,
51,3,10,950,,,,,
52,3,11,880,,,,,
53,3,12,910,,,,,
54,3,13,850,,,,,
55,3,14,870,,,,,
56,3,15,840,,,,,
57,3,16,840,,,,,
58,3,17,850,,,,,
59,3,18,840,,,,,
60,3,19,840,,,,,
61,3,20,840,,,,,
62,4,1,890,,,,,
63,4,2,810,,,,,
64,4,3,810,,,,,
65,4,4,820,,,,,
66,4,5,800,,,,,
67,4,6,770,,,,,
68,4,7,760,,,,,
69,4,8,740,,,,,
70,4,9,750,,,,,
71,4,10,760,,,,,
72,4,11,910,,,,,
73,4,12,920,,,,,
74,4,13,890,,,,,
75,4,14,860,,,,,
76,4,15,880,,,,,
77,4,16,720,,,,,
78,4,17,840,,,,,
79,4,18,850,,,,,
80,4,19,850,,,,,
81,4,20,780,,,,,
82,5,1,890,,,,,
83,5,2,840,,,,,
84,5,3,780,,,,,
85,5,4,810,,,,,
86,5,5,760,,,,,
87,5,6,810,,,,,
88,5,7,790,,,,,
89,5,8,810,,,,,
90,5,9,820,,,,,
91,5,10,850,,,,,
92,5,11,870,,,,,
93,5,12,870,,,,,
94,5,13,810,,,,,
95,5,14,740,,,,,
96,5,15,810,,,,,
97,5,16,940,,,,,
98,5,17,950,,,,,
99,5,18,800,,,,,
100,5,19,810,,,,,
101,5,20,870,,,,,